Round Date HomeTeam AwayTeam HomeScore AwayScore
13 03/07/2016 Figueirense AtleticoMG 1 1
13 03/07/2016 Sport Palmeiras 1 3

14 10/07/2016 Vitoria Fluminense 0 0
14 10/07/2016 Flamengo AtleticoMG 2 0
14 10/07/2016 SaoPaulo AmericaMG 3 0
14 10/07/2016 Gremio Figueirense 2 1
14 10/07/2016 Coritiba Botafogo 0 0
14 10/07/2016 Chapecoense Corinthians 0 2
14 10/07/2016 PontePreta Sport 2 1
14 10/07/2016 SantaCruz Internacional 1 0
14 10/07/2016 Cruzeiro AtleticoPR 0 3
14 10/07/2016 Palmeiras Santos 1 1

15 17/07/2016 Botafogo Flamengo 3 3
15 17/07/2016 Fluminense Cruzeiro 2 0
15 17/07/2016 Corinthians SaoPaulo 1 1
15 17/07/2016 Santos PontePreta 3 1
15 17/07/2016 AtleticoMG Coritiba 2 1
15 17/07/2016 AtleticoPR Vitoria 1 1
15 17/07/2016 Figueirense Chapecoense 1 1
15 17/07/2016 AmericaMG SantaCruz 0 3
15 17/07/2016 Sport Gremio 4 2
15 17/07/2016 Internacional Palmeiras 0 1

16 24/07/2016 Vitoria Santos 2 3
16 24/07/2016 Flamengo AmericaMG 2 1
16 24/07/2016 Corinthians Figueirense 1 1
16 24/07/2016 Palmeiras AtleticoMG 0 1
16 24/07/2016 Cruzeiro Sport 1 2
16 24/07/2016 Gremio SaoPaulo 1 0
16 24/07/2016 AtleticoPR Fluminense 1 0
16 24/07/2016 Chapecoense Botafogo 2 1
16 24/07/2016 PontePreta Internacional 2 2
16 24/07/2016 SantaCruz Coritiba 0 1

17 31/07/2016 Botafogo Palmeiras 3 1
17 31/07/2016 Fluminense PontePreta 3 0
17 31/07/2016 SaoPaulo Chapecoense 2 2
17 31/07/2016 Santos Cruzeiro 2 0
17 31/07/2016 AtleticoMG SantaCruz 3 0
17 31/07/2016 Internacional Corinthians 0 1
17 31/07/2016 Coritiba Flamengo 0 2
17 31/07/2016 Figueirense Vitoria 1 0
17 31/07/2016 AmericaMG Gremio 0 0
17 31/07/2016 Sport AtleticoPR 2 0

18 04/08/2016 Vitoria Coritiba 3 1
18 03/09/2016 Fluminense Figueirense
18 04/08/2016 SaoPaulo AtleticoMG 1 2
18 04/08/2016 Santos Flamengo 0 0
18 04/08/2016 Cruzeiro Internacional 4 1
18 04/08/2016 Gremio SantaCruz 0 0
18 04/08/2016 AtleticoPR Corinthians 2 0
18 04/08/2016 Chapecoense Palmeiras 1 0
18 04/08/2016 PontePreta Botafogo 2 0
18 04/08/2016 Sport AmericaMG 1 1

19 04/09/2016 Botafogo Gremio
19 07/08/2016 Flamengo AtleticoPR 1 0
19 07/08/2016 Corinthians Cruzeiro 1 1
19 07/08/2016 Palmeiras Vitoria 2 1
19 07/08/2016 AtleticoMG Chapecoense 3 1
19 07/08/2016 Internacional Fluminense 2 2
19 07/08/2016 Coritiba PontePreta 3 1
19 07/08/2016 Figueirense Sport 1 1
19 07/08/2016 AmericaMG Santos 1 0
19 07/08/2016 SantaCruz SaoPaulo 1 2
