Pos Team Rating
1 Corinthians 1590
2 AtleticoMG 1580
3 Gremio 1570
4 SaoPaulo 1560
5 Internacional 1550
6 Sport 1540
7 Santos 1530
8 Cruzeiro 1520
9 Palmeiras 1510
10 AtleticoPR 1500
11 PontePreta 1490
12 Flamengo 1480
13 Fluminense 1470
14 Chapecoense 1460
15 Coritiba 1450
16 Figueirense 1440
17 Botafogo 1430
18 SantaCruz 1420
19 Vitoria 1410
20 AmericaMG 1400
