Pos Team Rating
1 Corinthians 1560
2 AtleticoMG 1550
3 Grêmio 1540
4 SaoPaulo 1530
5 Internacional 1525
6 Sport 1520
7 Santos 1515
8 Cruzeiro 1510
9 Palmeiras 1505
10 AtleticoPR 1500
11 PontePreta 1495
12 Flamengo 1490
13 Fluminense 1485
14 Chapecoense 1480
15 Coritiba 1475
16 Figueirense 1470
17 Botafogo 1450
18 SantaCruz 1440
19 Vitoria 1430
20 AmericaMG 1420
