Pos,Team,Rating
1,Internacional,1545
2,Figueirense,1540
3,Santa Cruz,1535
4,América-MG,1530
5,Náutico,1525
6,Londrina,1520
7,CRB,1515
8,Criciúma,1510
9,Luverdense,1505
10,Ceará,1500
11,Brasil de Pelotas,1495
12,Vila Nova,1490
13,Goiás,1485
14,Paysandu,1480
15,Paraná,1475
16,Oeste,1470
17,Boa Esporte,1465
18,Guarani,1460
19,Juventude,1455
20,ABC,1450
